09:39:40: PROCESSO: ../xls/penta
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 435.00 €
09:40:30: 350.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 435.00 €
09:40:30: 350.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 435.00 €
09:40:30: 350.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 415.00 €
09:40:30: 435.00 €
09:40:30: 350.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 715.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 790.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 785.00 €
09:40:30: 785.00 €
09:40:30: 785.00 €
09:40:30: 785.00 €
09:40:30: 14,730.00 €
09:40:30: 16,515.00 €
09:40:30: 16,515.00 €
09:40:30: 19,505.00 €
09:40:30: 11,535.00 €
09:40:30: 12,925.00 €
09:40:30: 12,925.00 €
09:40:30: 15,395.00 €
09:40:30: 8,590.00 €
09:40:30: 9,895.00 €
09:40:30: 9,895.00 €
09:40:30: 11,765.00 €
09:40:30: 6,595.00 €
09:40:30: 7,690.00 €
09:40:30: 7,690.00 €
09:40:30: 9,385.00 €
09:40:30: 4,840.00 €
09:40:30: 5,350.00 €
09:40:30: 5,350.00 €
09:40:30: 6,470.00 €
09:40:30: 3,810.00 €
09:40:30: 4,190.00 €
09:40:30: 4,190.00 €
09:40:30: 5,055.00 €
09:40:30: 4,375.00 €
09:40:30: 4,770.00 €
09:40:30: 4,770.00 €
09:40:30: 5,780.00 €
09:40:30: 3,415.00 €
09:40:30: 3,790.00 €
09:40:30: 3,790.00 €
09:40:30: 4,610.00 €
09:40:30: 2,395.00 €
09:40:30: 2,650.00 €
09:40:30: 2,650.00 €
09:40:30: 3,245.00 €
09:40:30: 1,865.00 €
09:40:30: 2,065.00 €
09:40:30: 2,065.00 €
09:40:30: 2,620.00 €
09:40:30: 1,530.00 €
09:40:30: 1,775.00 €
09:40:30: 1,775.00 €
09:40:30: 2,180.00 €
09:40:30: 1,255.00 €
09:40:30: 1,405.00 €
09:40:30: 1,405.00 €
09:40:30: 1,750.00 €
09:40:30: 2,180.00 €
09:40:30: 2,180.00 €
09:40:30: 2,180.00 €
09:40:30: 2,310.00 €
09:40:30: 3,080.00 €
09:40:30: 3,080.00 €
09:40:30: 3,080.00 €
09:40:30: 4,950.00 €
09:40:30: 1,090.00 €
09:40:30: 635.00 €
09:40:30: 635.00 €
09:40:30: 635.00 €
09:40:30: 635.00 €
09:40:30: 335.00 €
09:40:30: 335.00 €
09:40:30: 335.00 €
09:40:30: 335.00 €
09:40:30: 235.00 €
09:40:30: 235.00 €
09:40:30: 235.00 €
09:40:30: 235.00 €
09:40:30: 1,035.00 €
09:40:30: 1,035.00 €
09:40:30: 1,035.00 €
09:40:30: 505.00 €
09:40:30: 505.00 €
09:40:30: 505.00 €
09:40:30: 1,200.00 €
09:40:30: 1,200.00 €
09:40:30: 1,200.00 €
09:40:30: 985.00 €
09:40:30: 945.00 €
09:40:30: 1,535.00 €
09:40:30: 1,475.00 €
09:40:30: 3,515.00 €
09:40:30: 3,295.00 €
09:40:30: 4,235.00 €
09:40:30: 4,015.00 €
09:40:30: 3,285.00 €
09:40:30: 3,075.00 €
09:40:30: 2,050.00 €
09:40:30: 1,920.00 €
09:40:30: 1,810.00 €
09:40:30: 1,700.00 €
09:40:30: 1,645.00 €
09:40:30: 1,525.00 €
09:40:30: 1,535.00 €
09:40:30: 1,425.00 €
09:40:30: 2,310.00 €
09:40:30: 2,185.00 €
09:40:30: 2,230.00 €
09:40:30: 2,120.00 €
09:40:30: 2,145.00 €
09:40:30: 2,045.00 €
09:40:30: 3,190.00 €
09:40:30: 2,970.00 €
09:40:30: 1,425.00 €
09:40:30: 1,315.00 €
09:40:30: 435.00 €
09:40:30: 410.00 €
09:40:30: 400.00 €
09:40:30: 380.00 €
09:40:30: 340.00 €
09:40:30: 325.00 €
09:40:30: 3,960.00 €
09:40:30: 3,740.00 €
09:40:30: 3,190.00 €
09:40:30: 2,970.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 895.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 575.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 420.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 370.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 340.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 1,155.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 860.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 640.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 615.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 500.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 845.00 €
09:40:30: 845.00 €
09:40:30: 845.00 €
09:40:30: 845.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 325.00 €
09:40:30: 325.00 €
09:40:30: 325.00 €
09:40:30: 325.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 900.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 545.00 €
09:40:30: 2,195.00 €
09:40:30: 2,195.00 €
09:40:30: 2,195.00 €
09:40:30: 2,195.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 995.00 €
09:40:30: 860.00 €
09:40:30: 1,705.00 €
09:40:30: 270.00 €
09:40:30: 270.00 €
09:40:30: 270.00 €
09:40:30: 270.00 €
09:40:30: 270.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 360.00 €
09:40:30: 765.00 €
09:40:30: 765.00 €
09:40:30: 1,045.00 €
09:40:30: 1,045.00 €
09:40:30: 215.00 €
09:40:30: 215.00 €
09:40:30: 215.00 €
09:40:30: 210.00 €
09:40:30: 210.00 €
09:40:30: 210.00 €
09:40:30: 205.00 €
09:40:30: 205.00 €
09:40:30: 205.00 €
09:40:30: 470.00 €
09:40:30: 470.00 €
09:40:30: 470.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 600.00 €
09:40:30: 450.00 €
09:40:30: 450.00 €
09:40:30: 450.00 €
09:40:30: 565.00 €
09:40:30: 565.00 €
09:40:30: 565.00 €
09:40:30: 395.00 €
09:40:30: 395.00 €
09:40:30: 395.00 €
09:40:30: 505.00 €
09:40:30: 505.00 €
09:40:30: 505.00 €
09:40:30: 1,535.00 €
09:40:30: 1,095.00 €
09:40:30: 1,095.00 €
09:40:30: 985.00 €
09:40:30: 765.00 €
09:40:30: 765.00 €
09:41:55: PROCESSO: ../xls/penta
09:42:19: PROCESSO: ../xls/penta
09:42:20: 370 €
09:42:20: 375 €
09:42:20: 590 €
09:42:20: 595 €
09:42:20: 910 €
09:42:20: 920 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 870 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 1,355 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 670 €
09:42:20: 670 €
09:42:20: 670 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 790 €
09:42:20: 670 €
09:42:20: 670 €
09:42:20: 670 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 1,205 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 715 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 1,010 €
09:42:20: 390 €
09:42:20: 320 €
09:42:20: 320 €
09:42:20: 390 €
09:42:20: 320 €
09:42:20: 320 €
09:42:20: 1,380 €
09:42:20: 1,380 €
09:42:20: 695 €
09:42:20: 695 €
09:42:20: 815 €
09:42:20: 815 €
09:42:20: 540 €
09:42:20: 540 €
09:42:20: 655 €
09:42:20: 655 €
09:42:20: 400 €
09:42:20: 400 €
09:42:20: 475 €
09:42:20: 475 €
09:42:20: 875 €
09:42:20: 875 €
09:42:20: 985 €
09:42:20: 985 €
09:42:20: 955 €
09:42:20: 955 €
09:42:20: 1,050 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 680 €
09:42:20: 680 €
09:42:20: 460 €
09:42:20: 460 €
09:42:20: 590 €
09:42:20: 590 €
09:42:20: 365 €
09:42:20: 365 €
09:42:20: 435 €
09:42:20: 435 €
09:42:20: 435 €
09:42:20: 435 €
09:42:20: 515 €
09:42:20: 515 €
09:42:20: 325 €
09:42:20: 325 €
09:42:20: 395 €
09:42:20: 395 €
09:42:20: 485 €
09:42:20: 485 €
09:42:20: 485 €
09:42:20: 485 €
09:42:20: 485 €
09:42:20: 485 €
09:42:20: 325 €
09:42:20: 420 €
09:42:20: 420 €
09:42:20: 420 €
09:42:20: 420 €
09:42:20: 420 €
09:42:20: 420 €
09:42:20: 270 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 395 €
09:42:20: 600 €
09:42:20: 600 €
09:42:20: 600 €
09:42:20: 600 €
09:42:20: 600 €
09:42:20: 600 €
09:42:20: 430 €
09:42:20: 525 €
09:42:20: 555 €
09:42:20: 525 €
09:42:20: 555 €
09:42:20: 435 €
09:42:20: 460 €
09:42:20: 435 €
09:42:20: 460 €
09:42:20: 875 €
09:42:20: 875 €
09:42:20: 875 €
09:42:20: 1,025 €
09:42:20: 1,025 €
09:42:20: 1,025 €
09:42:20: 875 €
09:42:20: 875 €
09:42:20: 875 €
09:42:20: 1,025 €
09:42:20: 1,025 €
09:42:20: 1,025 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 545 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 615 €
09:42:20: 1,815 €
09:42:20: 1,870 €
09:42:20: 1,430 €
09:42:20: 1,540 €
09:42:20: 6,160 €
09:42:20: 3,520 €
09:42:20: 1,320 €
09:42:20: 305 €
09:42:20: 305 €
09:42:20: 305 €
09:42:20: 305 €
09:42:20: 265 €
09:42:20: 1,095 €
09:42:20: 1,095 €
09:42:20: 1,095 €
09:42:20: 1,095 €
09:42:20: 1,095 €
09:42:20: 1,095 €
09:42:20: 1,095 €
09:42:20: 1,270 €
09:42:20: 875 €
09:42:20: 560 €
09:42:20: 560 €
09:42:20: 560 €
09:42:20: 560 €
09:42:20: 560 €
09:42:20: 560 €
09:42:20: 560 €
09:42:20: 645 €
09:42:20: 435 €
09:42:20: 290 €
09:42:20: 290 €
09:42:20: 290 €
09:42:20: 290 €
09:42:20: 290 €
09:42:20: 290 €
09:42:20: 290 €
09:42:20: 345 €
09:42:20: 215 €
09:42:20: 1,525 €
09:42:20: 1,525 €
